cam,dtnt,BB,BO,TO,TB,TS,SB,Top.Roughness,Dist.FW,FPAR,Elevation,isothermal,Veg,Land.Use,Soil.Class
LH-S1-C3_S2-6,20.4,0,0,0,0,0,2,50,12328.45508,0.327458054,451.1554871,0.516882777,Grassland,Reserve,9
LH-S1-C4,20,0,0,0,0,0,0,98,14535.02832,0.272253245,438.9553833,0.513941526,Shurbland,Reserve,9
LH-S1-C4_S1-5,20,0,0,0,0,0,0,52,11536.69336,0.285279423,559.2498169,0.512035489,Grassland,Reserve,9
LH-S1-C5,20.1,0,0,0,0,0,0,29,8144.614746,0.342646122,539.3897095,0.508662224,Rainforest,Reserve,9
LH-S1-C5_S1,20.1,0,0,0,0,0,0,52,11536.69336,0.285279423,559.2498169,0.512035489,Grassland,Reserve,9
LH-S1-C5_S2-5,20.1,0,19,0,5,0,8,52,11536.69336,0.285279423,559.2498169,0.512035489,Grassland,Reserve,9
LH-S10-C1,2.3,0,0,0,0,0,0,54,1164.69873,0.272420973,780.2626343,0.505581915,Grassland,ModifiedNative,4
LH-S10-C1_S1-2,2.3,0,0,0,1,0,6,54,1164.69873,0.272420973,780.2626343,0.505581915,Grassland,ModifiedNative,4
LH-S10-C2,1.1,5,0,2,0,0,40,84,923.6052856,0.250934869,794.1362915,0.50393039,Shurbland,ModifiedNative,4
LH-S10-C3_S1,1.1,0,0,0,0,0,0,84,923.6052856,0.250934869,794.1362915,0.50393039,Shurbland,ModifiedNative,4
LH-S10-C4,5.4,0,0,0,0,0,0,30,4943.873535,0.249458179,699.3748779,0.510427475,TallEuc,Reserve,4
LH-S10-C4_S1-2,5.4,0,0,0,0,0,0,30,4943.873535,0.249458179,699.3748779,0.510427475,TallEuc,Reserve,4
LH-S2-C1,20.3,0,0,0,0,0,0,64,7005.598633,0.31235522,443.1519165,0.516693294,Woodland,Reserve,9
LH-S2-C1_S1-6,20.3,5,0,0,10,0,9,64,7005.598633,0.31235522,443.1519165,0.516693294,Woodland,Reserve,9
LH-S2-C2,20.7,6,0,0,20,0,21,64,7005.598633,0.31235522,443.1519165,0.516693294,Woodland,Reserve,9
LH-S2-C3,21.2,0,0,0,0,0,0,61,7853.143555,0.320979297,393.9367065,0.521195352,TallEuc,Reserve,9
LH-S2-C3_S1,21.2,0,0,0,0,0,0,61,7853.143555,0.320979297,393.9367065,0.521195352,TallEuc,Reserve,9
LH-S2-C4,21.5,0,0,0,0,0,0,61,7853.143555,0.320979297,393.9367065,0.521195352,TallEuc,Reserve,9
LH-S2-C4_S1,21.5,0,0,0,0,0,0,61,7853.143555,0.320979297,393.9367065,0.521195352,TallEuc,Reserve,9
LH-S2-C4_S2,21.5,0,0,0,1,0,0,61,7853.143555,0.320979297,393.9367065,0.521195352,TallEuc,Reserve,9
LH-S2-C5,22.2,0,0,0,0,0,0,46,7991.870605,0.338225067,500.5745239,0.513724446,Woodland,Reserve,9
LH-S2-C5_S1,22.2,0,0,0,0,0,0,46,7991.870605,0.338225067,500.5745239,0.513724446,Woodland,Reserve,9
LH-S3-C1_S1,14,0,0,1,0,0,0,37,3527.678223,0.33997798,849.4429932,0.496073544,Grassland,Reserve,4
LH-S3-C2,13.5,0,0,1,2,0,39,37,3527.678223,0.33997798,849.4429932,0.496073544,Grassland,Reserve,4
LH-S3-C3,12.1,0,3,0,2,7,42,66,1879.7854,0.36752969,723.6304932,0.508663833,Grassland,Reserve,4
