"cam","BB","BO","TO","TB","TS","SB","Top.Roughness","Dist.FW","FPAR","Elevation","isothermal","Veg","Land.Use","Soil.Class"
"CM-S6-C1_S1-3",14,0,0,40,5,0,59,6985.1259765625,0.24334591627121,235.686172485352,0.50744491815567,"Grassland","Reserve","4"
"CM-S6-C2_S1-3",16,0,0,41,11,13,57,8621.5419921875,0.213755309581757,293.710205078125,0.502842605113983,"TallEuc","Reserve","11"
"CM-S6-C3",1,0,0,3,0,41,56,10560.7138671875,0.181218042969704,393.815124511719,0.49905076622963,"Rainforest","Reserve","4"
"CM-S6-C4_S1-3",8,0,0,32,0,1,79,8139.89013671875,0.194668039679527,505.541442871094,0.490101993083954,"Grassland","Reserve","4"
"CM-S7-C1",0,0,1,23,6,0,19,5769.56884765625,0.237657710909843,610.309509277344,0.484499603509903,"Woodland","Plantation","5"
"CM-S7-C2",0,0,0,0,5,0,18,7685.22705078125,0.158175244927406,555.316772460938,0.485437870025635,"Human/Other","Plantation","5"
"CM-S7-C3",56,0,0,17,1,24,61,8319.4072265625,0.156293779611588,531.457214355469,0.488315433263779,"Human/Other","Plantation","5"
"CM-S7-C4",44,0,0,15,0,2,98,8992.58203125,0.195805430412292,498.494476318359,0.49212247133255,"Woodland","Reserve","5"
"CM-S7-C5",23,0,0,19,0,1,52,10334.5732421875,0.217131540179253,323.357452392578,0.501758515834808,"Rainforest","Reserve","4"
"CM-S8-C1_S1-3",0,0,2,22,6,10,19,8433.1240234375,0.19903253018856,605.136657714844,0.482135653495789,"Woodland","ModifiedNative","5"
"CM-S8-C2",1,0,0,16,0,9,110,11164.716796875,0.223238572478294,572.991088867188,0.484100550413132,"Human/Other","Plantation","5"
"CM-S8-C3",0,0,0,2,0,7,30,13473.5283203125,0.169833943247795,556.307556152344,0.482509672641754,"Woodland","ModifiedNative","5"
"CM-S8-C4",0,0,3,0,23,51,26,13136.009765625,0.312983095645905,556.0419921875,0.484419405460358,"Human/Other","Plantation","5"
