"","cam","X","lon","lat","Land.Use","Veg","meanDiurnal","isothermal","meanTwetQ","meanTdryQ","precipseas","precipwarmQ","Elevation","FPAR","Pop.Density","Dist.FW","Dist.Road","Fire.Freq","Top.Roughness","dtnt","count_unique_cats","IDImg","unImg","IPC","Un.Est","Coat"
"93","54_1",93,147.42099,-41.2234,"Reserve","TallEuc",9.34833335876465,0.495407164096832,5.80000019073486,14.3000001907349,0.349581241607666,189,500.409088134766,0.200690135359764,0,12980.5361328125,835.656616210938,0,153,4.2,NA,NA,NA,NA,NA,"TB"
"94","54_2",94,147.40866,-41.22847,"Reserve","Rainforest",9.3008337020874,0.494199424982071,5.69999980926514,14.1999998092651,0.349766582250595,189,557.751220703125,0.200485810637474,0,12218.8173828125,0,0,30,5.1,NA,NA,NA,NA,NA,"TB"
"95","54_3",95,147.42905,-41.24418,"Modified","Human/Other",9.38749980926514,0.495644152164459,5.69999980926514,14.1999998092651,0.349796146154404,190,553.286926269531,0.199578180909157,1.27073812484741,14877.7109375,0,0,33,6.3,NA,NA,NA,NA,NA,"B"
"96","55_1",96,147.53005,-41.26672,"Modified","Human/Other",9.27083301544189,0.494180887937546,5.40000009536743,13.8999996185303,0.346452057361603,207,617.933959960938,0.194214046001434,0,18067.830078125,0,0,87,3,NA,NA,NA,NA,NA,"B"
"97","57_1",97,147.55043,-41.24945,"Modified","Human/Other",10.1033334732056,0.513380765914917,7.30000019073486,15.8000001907349,0.328842967748642,170,323.468566894531,0.191457346081734,0,20525.951171875,0,0,51,3.8,NA,NA,NA,NA,NA,NA
"98","57_2",98,147.5559,-41.25142,"Modified","Human/Other",10.1033334732056,0.513380765914917,7.30000019073486,15.8000001907349,0.328842967748642,170,323.468566894531,0.191457346081734,0,20525.951171875,0,0,51,4.3,NA,NA,NA,NA,NA,"B"
"99","57_3",99,147.54795,-41.24463,"Modified","TallEuc",10.0683336257935,0.51238340139389,7.19999980926514,15.6999998092651,0.331691920757294,172,330.942443847656,0.174879044294357,0,20294.140625,0,0,73,3.6,NA,NA,NA,NA,NA,"TB"
"100","58_1",100,147.63534,-41.29869,"Reserve","Rainforest",9.21749973297119,0.494235932826996,5.30000019073486,13.8000001907349,0.337951362133026,211,650.888549804688,0.20013515651226,0,12205.341796875,336.194549560547,0,157,6.2,NA,NA,NA,NA,NA,"B"
"101","59_1",101,147.6494,-41.29531,"Modified","Rainforest",9.44583320617676,0.4989874958992,5.69999980926514,14.1999998092651,0.333295106887817,202,602.946838378906,0.192870050668716,0,11398.3427734375,231.656555175781,0,37,5.3,NA,NA,NA,NA,NA,"B"
"102","59_2",102,147.65317,-41.28864,"Modified","TallEuc",9.881667137146,0.508577823638916,6.59999990463257,15,0.327630579471588,186,417.134887695312,0.190963670611382,0,11051.16015625,108.455307006836,0,47,4.8,NA,NA,NA,NA,NA,"B"
"103","6_2",103,147.85591,-42.28056,"Modified","TallEuc",9.73999977111816,0.520577251911163,11.8000001907349,13.1000003814697,0.149037227034569,152,386.636932373047,0.267767429351807,0,5667.71923828125,0,0,59,9.5,NA,NA,NA,NA,NA,"O"
